CODIGO;PERFIL;NOME;CNPJ;CONTATO;TELEFONE;ENDEREÇO;NUMERO/COMPLEMENTO;BAIRRO;UF;MUNICIPIO;CEP;SEG. A SEX.;SÁBADO;INSTAGRAM;E-mail;Time;Vendedor
W000FS;MECÂNICO;WATCH BIKES;37462720000189;GUSTAVO;12 99205 2662;R AGOSTINHO ESPATA FORA;22;VILA PAULISTA;SP;TAUBATE;12031-120;09 as 18:30h;-;watch_bikes_;;ELIS;JOABE
W000FU;MECÂNICO;BENTINHO BIKES;41974805000113;LUCAS;35 99812 7039;R DUQUE DE CAXIAS;142;CENTRO;MG;BORDA DA MATA;37564-000 ;09 as 18h;09 as 12h;bentinhobikes;;;
W000FW;MECÂNICO;OFICINA DO PEXE;37422182000107;DANILO;19 98236 3505;R MARIA FRANCISCA (JARDIM NOVA CANUDOS);18;CENTRO;SP;VINHEDO;13.280-350;09 as 18:30h;-;oficinadopexe;;;
W000FX;LOJA;ConectBike;41910259000157;DANIEL;31 99104893;AV ANTONIO OLINTO;681, LOJA B;CENTRO;MG;CURVELO;35790-001;08 as 18h;08 as 13h;;;;
W000FY;LOJA;BELABIKE SHOP;44283793000179;IRWING;71 98766 4546;Alameda Euvaldo Luz ;92, Loja Q2, Estac. G0, Asa Sul, Shopping Bela Vista ;HORTO BELA VISTA;BA;SALVADOR;41098-020;09 as 20h;09 as 18h;;;;
W000FZ;MECÂNICO;BIKE CENTRAL;9568498000168;WELLINGTON;19991129738;AV BRASIL;575, Sala 02;JARDIM AMANDA;SP;HORTOLANDIA;13188-252;08 as 18h;-;bikecentral13;;;
W000G1;MECÂNICO;CHASSIS BIKES;39819882000157;WEVERTON;17 99728 9401;PC CECILIA MEIRELES;4319;CONJUNTO HABITACIONAL JARDIM ARAPUA;SP;JALES;15707-186;08 as 18h;08 as 12h;chassis_bikes;;;
W000G4;MECÂNICO;OFICINA BIKE;41190945000109;CARLOS;11 99656 0285;R DANAIDES;56;VILA ANHANGUERA;SP;SÃO PAULO;04673-180;09 as 19h;-;oficinabikeoficial;;ELIS;JOABE
W000G5;MECÂNICO;CT BIKE;20528580000100;CARLOS;18 99107 6447;R CRISTIANO OLSEN;2349;HIGIENOPOLIS;SP;ARACATUBA;16010-720;09 as 18h;9 as 12h;ctbikeoficina;;;
W000G6;MECÂNICO;GARAGE BIKE MECHANIC ;23681346000106;CLODOALDO;45 999121004;R ANGELO MASSOLA;801;JARDIM CONCORDIA;PR;TOLEDO;85906-490;08 as 18h;-;garagebikemechanic;;;
W000G7;MECÂNICO;ALLTECH BIKES;20787608000115;HELIO;24 99236 9988;ESTRADA UNIAO E INDUSTRIA;10673;ITAIPAVA;RJ;PETROPOLIS;25645-250;09:30 as 18h;09:30 as 18h;alltechbikes;;;
W000G8;MECÂNICO;GARAGE BIKE JF;37238205000110;JOAO PEDRO;32 991104889;AV DOUTOR MOACYR SIQUEIRA;462;JARDIM DO SOL;MG;JUIZ DE FORA;36062-010;09 as 20h;-;garagebikejf;;;
W000GA;MECÂNICO;TRONCO BIKE SERVICE;31705666000179;VINICIUS;12 991348929;AV MANOEL MARCONDES OLIVEIRA MELLO;344;CONDOMINIO RESIDENCIAL REAL VILLE;SP;PINDAMONHANGABA;12421-700;09 as 19h;09 as 12h;tronco.bike;;;
W000GF;MECÂNICO;CARNE SECA BIKES;37206754000102;BRUNO;27 99702 3339;AVENIDA RIO BRANCO;363-LOJA 01;SANTA LUCIA;ES;VITÓRIA;29056-255;09 as 18h;-;carnesecabikes;;;
W000GJ;MECÂNICO;BINHO BIKE;35367043000194;BINHO;19 99899 4455;R PADRE ANCHIETA 285;285;JARDIM BELVEDERE;SP;ARARAS;13601-130;08:30 as 17:30h;-;binhobikeararas;;;
W000GK;LOJA;BRASIL BIKE SHOP;9054393000190;LUIS;31 987556309 / 989575329;AV CUSTODIO SILVA;1050;CENTRO;MG;PONTE NOVA;35.430-026;09 as 19h;09 as 13h;;;ELIS;JOABE
W000GL;MECÂNICO;UPDOWN BIKE;40821476000108;KELSON;83998216633;AV PRESIDENTE EPITACIO PESSOA;5088, SALA 105;CABO BRANCO;PB;JOAO PESSOA;58045-000;09 as 19h;09 as 13h;updownbike.pb;;Elis;Camila
W000GM;MECÂNICO;PIM - PIM BIKERS ;6375875000154;ANDERSON;;AV PREFEITO MARIO MARTINS DE BARROS;250;VILA LIDIA;SP;BATATAIS;14300-001;09 as 18:30h;09 as 13h;pimpimbikers;;;
W000GN;MECÂNICO;CAFE BIKES MG;28598847000139;LUCAS;33 98435 0508;AV JACINTO ANTONIO DA SILVA;130;VILA RICA;MG;MANHUMIRIM;36970-000;08 as 18h;-;lucas.cafebikes;;;
W000GR;MECÂNICO;ROSIVAL BIKES;23465554000160;ROSIVAL;38 998990514;R JOSE DO PATROCINIO;379;ITAPUA;MG;UNAI;38610-120;08:00 as 18:30;-;rosivalbikes;;;
W000GS;MECÂNICO;PARADA SERVICE CENTER;26978935000130;FABRICIO;77 991319516;AV OLIVIA FLORES;32;LTM INOCOP II LOTE 16;BA;VITORIA DA CONQUISTA;45.028-100;08 as 18h;08 as 18h;;;;
W000GT;MECÂNICO;OFICINA JACKSON BIKE;28898845000165;JACKSON;88 999158581;AV DOM AURELIANO MATOS;1742;CENTRO;CE;LIMOEIRO DO NORTE;62930-000;08 as 18h;08 as 12h;oficinajacksonbike;;;
W000GV;MECÂNICO;JYMMY BIKE MECHANICS;37181707000151;JYMMY;85 986606886;R MANUEL JESUINO;642, LETRA A;MUCURIPE;CE;FORTALEZA;60175-270;08 as 18h;09 as 13h;jymmybikemechanics;;ELIS;JOABE
W000GW;MECÂNICO;MERLO BIKE;21827903000110;FELIPE;19 99630 1477;R MARECHAL BITENCOURT;117;RIBEIRAO;SP;AMPARO;13.904-050;09 as 18h;-;merlobikegarage;;;
W000GY;MECÂNICO;EDIÃO BIKES;22175606000109;EDSON;19 989568431;R DR JOAO MENDES;110;LARGO SAO JOAO;SP;ESPIRITO SANTO DO PINHAL;13990-000;09 as 19h;09 as 12h;ediaobikes;;;
W000GZ;MECÂNICO;PORKIN BIKE CENTER;23759479000140;ELIANDRO;17 988018558;R JOSE DIAS DA SILVA;1191;JARDIM IPANEMA;SP;MONTE APRAZIVEL;15150-000;13 as 17h;-;porkinbike_service_e_fit;;;
W000H3;MECÂNICO;BH BIKES;27086134000123;BRUNO;19 99779 4956;R DAS GARCAS;1750;JARDIM DO LAGO;SP;PIRASSUNUNGA;13633-138;08:30 as 18h;08 as 12h;bikesbh;;;
W000H4;MECÂNICO;STUDIO PRO BIKE;39840957000181;EMERSON;67 999002230;R IMACULADA CONCEICAO;1440;CENTRO;MS;NOVA ANDRADINA;79750-000;07 as 17h;08 as 11h;studioprobike_67;;;
W000H6;MECÂNICO;CX OFICINA ESPECIALIZADA;24485151000145;BRUNO;31 992323682;R VITORIO MARCOLA;535, APT 102;ANCHIETA;MG;BELO HORIZONTE;30310-360;08:30h as 18h;-;brunocorrieri_cxoficina;;ELIS;JOABE
W000H8;MECÂNICO;UM MAIS UM BIKE;36741749000137;GABRIEL;21 979435917;R BENEDITO KELLY;357;SANTA EUGENIA;RJ;NOVA IGUACU;26285-640;9h as 19h;9h as 14h;ummaisumbike;;;
W000H9;MECÂNICO;SPA DA BIKE;40552222000131;DIEGO;31 992870022;R AFONSO PENA;218, CASA 9;CENTRO;MG;CONSELHEIRO LAFAIETE;36400-062;8:00 as 11:15h;13:15 as 18:30h;spa_dabike;;;
W000HJ;MECÂNICO;BIKE MECHANIC;23558366000186;ALONZO;27997820510;R EXPEDICIONARIOS;230;CRISTOVAO COLOMBO;ES;VILA VELHA;29106-520;09 as 18h;-;bikemechanic;;;
W000HN;MECÂNICO;BUSTAMANTE BIKE FIX;27442244000180;FELIPE;73991810505;AV DAVID JONAS FADINI;638, SALA 02;STELA REIS;BA;EUNAPOLIS;45823-035;09 as 18h;-;bustamante_bike_fix;;;
W000HO;MECÂNICO;MÃO BIKE;27136592000120;FABRIZIO;73 999000988;R CAMINHO DOIS;28;JARDIM PRIMAVERA;BA;ITABUNA;45608-839;08 as 18h;-;maobikeservicos;;;
W000HP;MECÂNICO;PAULINHO BIKE SERVICE RJ;39580820000135;PAULO HENRIQUE;(24) 981156150;RUA CORONEL NEI PAULO PANIZZUTTI;169 LOTE 56;JARDIM ALIANCA;RJ;RESENDE;27525-580;09 as 19h;09 as 13h;paulinho_bike_service;;ELIS;JOABE
W000HR;MECÂNICO;ESPAÇO BIKE FOGUINHO;17371418000108;FABIO;62 985337482;R 14;"S/N, QUADRA 22;LOTE 05";SAO JUDAS TADEU;GO;GOIANIRA;75361-646;08 as 18h;08 as 13h;espacobike_foguinho;;;
W000HV;MECÂNICO;JACIEL BIKE;34912699000188;JACIEL;61 992704220;QUADRA 8 BLOCO 4;LT 05, LOJA 02;SOBRADINHO;DF;BRASILIA;73005-504;09 as 18h;-;jacielbikestudio;;;
W000HX;MECÂNICO;TRIAL BIKE;25422736000189;ERIC;35 997524960;AV MARIA DA CONCEICAO QUEIROZ;1157;PARQUE VEREDAS;MG;TRES PONTAS;37.190-000;9h as 19h;-;trialbike230;;;
W000HZ;MECÂNICO;VOSS BIKE;27871637000100;BRUNO;13 99119 8881;R JOAO PINHO;153;BOQUEIRAO;SP;SANTOS;11055-060;09 as 18h;09 as 14h;oficina_voss;;;
W000I0;MECÂNICO;JAPA BIKES;25207189000119;EDSON;11 97521 8803;R AQUIDABAN;165;JARDIM SANTA RITA DE CASSIA;SP;BRAGANÇA PAULISTA;12914-270;09 as 18h;-;edsonjapabike;;;
W000I2;MECÂNICO;PAULINHO BIKE SERVICE MG;46478906000117;PAULO HENRIQUE;38998186055;AV JUAREZ NUNES;15, SALA 5;JARDIM SAO LUIZ;MG;MONTES CLAROS;39401-057;09 as 19h;-;radicalbikepaulinhobikeservice;;;
W000I4;MECÂNICO;BINHO BICICLETAS;36664858000106;BINHO;35 98878 4947;AV HENRIQUE MUNHOZ GARCIA;491, LOJA;JARDIM BOA ESPERANCA III;MG;ALFENAS;37135-152;08:30 as 18h;09 as 13h;binhobicicletas;;ELIS;JOABE
W000I5;MECÂNICO;MARQUINHO DA BICICLETARIA;37622294000101;MARCUS;35 991518876;R SÃO PAULO;35;CENTRO;MG;MONTE SIAO;37580-000;09 as 18h;-;marcos.rufno;;;
W000I9;MECÂNICO;PRO BIKE;34158232000194;ALEX;49 999049804;R BORGES DE MEDEIROS;70, SALA;ALVORADA;SC;XAXIM;89825-000;8 as 18h;-;probikexaxim;;;
W000IC;MECÂNICO;VELO RIDE BIKE;40839759000187;UDI / MARCOS;1998215 0005/991143620;R HEITOR PENTEADO;1374, SALA 1 E 2;JOAQUIM EGIDIO;SP;CAMPINAS;13108-002;09 as 18:30h;07:30 as 12h;veloride_bikeshop;;;
W000ID;MECÂNICO;CICLO MURA;3482707000170;MURIEL;11 99843-9956;R MARECHAL RONDON;252;ESTAÇÃO;SP;SALTO;13323-100;08:30 as 18h;08:30 as 12h;ciclo_mura_bjj_;;;
W000II;MECÂNICO;CEBOLA BIKES;40115261000171;LEANDRO;35 98852 2624;R PADRE ANTONIO PASCHOAL;110;CENTRO;MG;CAMBUI;37600-000;08 as 18h;08 as 12h;cebolabikes;;;
W000IJ;MECÂNICO;THIAGO BIKE SERVICE BA;32012956000108;THIAGO;75 999079365;R SIMPLICIANO LIMA;23;CENTRO;BA;SEABRA ;46900-000;08 as 17:30h;08 as 13h;thiagobikesservice;;;
W000IL;MECÂNICO;BIKE PRONTA;44414718000108;GUSTAVO;44 998326660;AV JOSE CUSTODIO DE OLIVEIRA;1090;CENTRO;PR;CAMPO MOURAO;87301-020;08:30 as 18h;08:30 as 12:30h;bikepronta1;;ELIS;JOABE
W000IM;MECÂNICO;TOCA DA BIKE;44430661000122;blast;24 998639541;R DA PEDREIRA;97, CASA;ARROZAL;RJ;PIRAI;27185-000;09 as 20h;09 as 14h;tocadabike;;;
W000IN;MECÂNICO;LOPO BIKE ESTUDIO;42066352000190;da;35984574664;R JOAO SUEKUNI;153;CENTRO;MG;EXTREMA;37640-000;09 as 19h;-;lopobikestudio;;;
W000IO;MECÂNICO;ARO 29 BIKE SERVICE;43261626000164;DIOGO / FABRICIO;19 99838 7424;AV DR REBOUCAS;121, LOJA 02;CENTRO;SP;SOCORRO;13960-000;09 as 18h;09 as 13h;aro29bikes;;;
W000IP;MECÂNICO;HOME BIKE AVENIDA;46722980000137;EVERTON;19 983093706;AV WANDERLEY J. VICENTE;440, LOJA;VILA CANESSO;SP;PEDREIRA ;13920-000;9 as 20:30h;08:30 as 12h;home.bike.avenida;;;
W000IQ;MECÂNICO;STUDIO CICLO BIKE SERVICES;31246561000107;FABIO / GUSTAVO;11 974370816;R SERRA DE BRAGANCA;758;VILA GOMES CARDIM;SP;SÃO PAULO;03.318-000;9h as 19h;09 as 13h;studio_ciclo;;;
W000IR;MECÂNICO;LV BIKE SERVICE;27999596000131;JOÃO;84 992045699;R ADEMAR LEAO DA SILVEIRA;218;BETEL;RN;APODI;59.700-000;08 as 18h;09 as 18h;leivaqueiroz;;;
W000IS;MECÂNICO;LS BIKE OFICINA;46720779000110;LEILSON;11 994493743;R CEDRO;304;JARDIM IPE;SP;MAUA;09.390-460;10 as 17h;-;lsbikeoficina;;;
W000IW;LOJA;ANDREWS BIKE;26899833000120;ANDERSON;11 994493239;AV PRESTES MAIA;211;JARDIM D'ABRIL;SP;OSASCO;06.040-010;09 as 18h;09 as 15h;;;Elis;Camila
W000IY;MECÂNICO;GIRA PEDAL BIKE;23126240000132;RICARDO;88 992043381;R ANTONIO ANDRE;SN;GROSSOS;CE;VARZEA ALEGRE;63.540-000;08 as 17h;08 às 13h;girapedal;;;
W000J1;MECÂNICO;PARK BIKE;14797246000140;ANTHENOR;91 988887000;TV WE 6 A, CIDADE NOVA I;1, CASA;CIDADE NOVA;PA;ANANINDEUA;67.130-060;08 as 19h;-;parkbike.oficina;;;
W000J2;MECÂNICO;LAS MAGRELAS;17212637000144;TALITA;(11) 941413328;R AURELIA;690;VILA ROMANA;SP;SÃO PAULO;05.046-000;10 as 18h;10 as 14:30h;lasmagrelas;;;
W000J4;MECÂNICO;GARAGEM BIKE ILHEUS;36404296000153;FRANCK;73982130431;R PRIMAVERA;301;TEOTONIO VILELA;BA;ILHÉUS ;45.657-140;08 as 18h;08 as 13h;franckjoseoficial;;;
W000JA;MECÂNICO;INVICTOS BIKE HOUSE;42834710000167;IURI;71992612862;R DOIS DE JULHO;83 E;DOIS DE JULHO;BA;CAMACARI;42.809-201;9h as 17h;-;invictosbikehouse;;ELIS;JOABE
W000JC;MECÂNICO;PARABIKES MATENA;35151609000146;DANIEL;94984113915;AV GENERAL DUTRA;420;VILA NOVA;MG;MANTENA;35.290-000;08h as 18h;08 as 12h;parabikes;;;
W000JD;MECÂNICO;Goblin Bike Parts;11415699000177;ELVIS;19 981421590;R 10;1249;CENTRO;SP;RIO CLARO;13.500-230;09 as 18h;-;elvis_esteter;;;
W000JE;MECÂNICO;LEO BIKE SERVICE;27212701000140;LEO;75 991505555;R QUIRINOPOLIS;211;BRASILIA;BA;FEIRA DE SANTANA;44.088-666;09 as 19h;09 as 14h;leobikeservice;;;
W000JF;MECÂNICO;JETTO BIKE;39454428000140;JORGE;14 99704 3981;R ALCEBIADES BERNARDO;152;CONJUNTO HABITACIONAL ENGENHEIRO FRANCISCO BLASI;SP;BOTUCATU;18.605-730;10 as 18h;10 as 18h;jettobike;;;
W000JJ;MECÂNICO;DOUTOR BIKE;34814197000114;LEOMAR;73981689761;AV ROSENTINO BOTELHO DE ASSUNCAO FILHO;268, TERREO;NORBERTO ODEBRECHT;BA;ITUBERA;45.435-000;08 as 18h;08 as 16h;drbikeitubera;;;
W000JL;MECÂNICO;BAIANO BIKES SERVICE;33885703000101;BRUNO;34 98853 0318;AL DAS CAVIUNAS;4105;DONA DIVA;MG;PATROCINIO;38.748-498;08 as 18h;-;baiano_bike_service;;;
W000JM;MECÂNICO;LEMAO BIKE;26567861000140;DANIEL;19 982169217;R VISCONDE DO RIO BRANCO;2019, FUNDOS;HIGIENOPOLIS;SP;PIRACICABA;13.419-316;8:30 às 19:30h;09 às 13:30;lemaobikehealer;;ELIS;JOABE
W000JN;MECÂNICO;OFICINA IRDEBIKE;36638416000187;PAGU;88 996651801;R MANOEL TOINHO;122;CENTRO;CE;BREJO SANTO;63260000;09 às 12:30 e 14 às 18:30h;09 as 13h;oficina_irdebike;;;
W000JO;MECÂNICO;SANTIN BIKE;13694194000114;LONDRI;73 988050606;R RUI BARBOSA;41;CENTRO;BA;PORTO SEGURO;45.810-000;08 as 18h;08 as 18h;santinbike;;;
W000JT;MECÂNICO;ADRIANO BIKE;45576480000171;ADRIANO;73988572908;R ALZIRA PAIM;35;PONTALZINHO;BA;ITABUNA;45.603-058;08 as 12h e das 13h as 18h;08 as 13h;adriano_bike_service;;;
W000JV ;MECÂNICO;ISAIAS BIKE SERVICE;30328565000163;ISAIAS;;R DA ILHA;51;ITAPUA;BA;SALVADOR;41.620-620;09 as 13h e das 14h das 18:30h;-;isaias_bike_service;;;
W000JW;MECÂNICO;WILLIAN BIKE SERVICE;32646540000133;WILLIAN;61 98112 3495;RUA 4A BLOCO 4;LOJA 1 EDIF BOM TEMPO;SETOR HAB VICENTE PIRES;DF;BRASILIA;72.006-212;09 as 12 e das 13 as 19h;-;willian_bike_service;;ELIS;ALEX
W000JY;LOJA;BIKE 3 IRMAOS;6177949000148;MAURO;32 987097914;AV JOSUE DE QUEIROZ;1177 A;MATOZINHOS;MG;SAO JOAO DEL REI;36305144;08:30 as 18h;08:30 as 12h;;;;
W000K2;LOJA;CAMBUÍ SPORT BIKE;46004102000186;ANDRÉ;3599970984;R CORONEL LAMBERT;358;CENTRO              ;MG;CAMBUI         ;37600-000;08 as 18h;08 as 12h;;;ELIS;JOABE
W000K5;MECÂNICO;BOX BIKE MG;36095042000109;MILLER;35 99858 3606;R BERNADINA RUTTEN;158;CENTRO;MG;PERDOES;37.260-000;8:30 ATÉ 18:30H;8:30 ATÉ 12H;boxbikemg;;;
W000K6;MECÂNICO;OFICINA WSS SUSPENSION;32985690000171;PEDRO;34999903719;AV SEGISMUNDO PEREIRA;3260;SANTA MONICA;MG;UBERLANDIA;38.408-170;8:30 as 18h;-;oficinawss;;;
W000K9;MECÂNICO;GUI BIKE SERVICE;22240788000146;GUILHERME;32 984118087;R ROSINA EDE;40, APT 402;SANTA TEREZA I;MG;BARBACENA;36.201-048;8:30 às 18:30h;-;guibikeservice;;;
W000KB;MECÂNICO;RUCA BIKE SERVICE;14813926000100;RUAN;22 998278461;R DANIEL SILVA;55, LOJA;PARQUE AEROPORTO;RJ;MACAE;27.963-714;08h as 17h;-;bikeruca;;;
W000KC;MECÂNICO;TUTTI BIKE FIT;24186065000131;HAMILTON;19 981612117;R WALDEMAR IVO DE MEDEIROS;145;JARDIM GIBERTONI;SP;SAO CARLOS;13.574-550;09 as 18h;-;hamiltontutti ;;;
W000KD;MECÂNICO;BULL BIKE SERVICE;44905704000189;RAMON;(21) 972160361;AV EXPEDICIONARIO BITTENCOURT RODRIGUES;201, CONJ FRENTE AO TOMTOM;MARIA PAULA;RJ;SAO GONCALO;24.754-400;09 as 18h;08 as 14h;ramonbull_mecanico;;;
W000KE;MECÂNICO;BIKE & SERVICE CASCAVEL;40254863000100;LANYSON;45 99835 9141;R RIO GRANDE DO SUL;1530;CENTRO;PR;CASCAVEL;85.801-011;09 as 18h;09 as 12h;bikeeservice;;;
W000KF;MECÂNICO;TAEL BIKE;31016964000151;TALYTA;85 986676701;R DOUTOR EDUARDO DIAS;28;PASSARE;CE;FORTALEZA;60.743-710;09 as 18h;08h as 12h;taelbike_;;ELIS;JOABE
W000KG;MECÂNICO;DENGO OFICINA BIKE;37817450000181;WELLINTON;32 999628568 E (32) 98393627;R AMERICO DEODORO BRIGHENTI;322;COLONIA DO MARCAL;MG;SAO JOAO DEL REI;36.302-478;08:30 as 18h;08:30 as 12h;dengooficinadebike;;;
W000KH;MECÂNICO;CENTRO TÉCNICO DALAVALI;16613332000181;DANIEL;41 99676 5111;R ANTONIO VIDAL;299;MORADIAS BOM JESUS;PR;CAMPO LARGO;83.602-560;08 às 18h;-;mecanicodalavali;;;
W000KI;MECÂNICO;CHOSEN BIKE PREMIUM;27051332000151;LUCAS;48991684388;R GONCALVES LEDO;177, LOJA 2;TRINDADE;SC;FLORIANOPOLIS;88.036-110;09 as 18h;-;chosenbikeshop;;;
W000KK;MECÂNICO;OFICINA BINDE BIKE REPAIR;29299715000179;ULISSES;41999436790;R FERNANDES DE BARROS;633, LOJA 1;ALTO DA RUA XV;PR;CURITIBA;80.045-390;10 as 18h;-;binde_bike_repair;;;
W000KM;MECÂNICO;DK BIKE VOLTA REDONDA;45289891000186;DOUGLAS;24 999381204;AV ALMIRANTE ADALBERTO DE BARROS NUNES;2520;VILA MURY;RJ;VOLTA REDONDA;27.275-600;09 as 18h;09 as 14h;dkbike_;;;
W000KN;MECÂNICO;DREAM BIKE SHOP;45674089000100;CAIO;47 996980300;R DESEMBARGADOR PEDRO SILVA;157, SALA 2;VICTOR KONDER;SC;BLUMENAU;89.012-150;09 as 19h;-;dream.bikeshop;;;
